Consumo;Cilindros;Cilindradas;RelEixoTraseiro;Peso;Tempo;TipoMotor;Transmissao;Marchas;Carburadors;HP
21;6;160;39;262;1646;0;1;4;4;110
21;6;160;39;2875;1702;0;1;4;4;110
228;4;108;385;232;1861;1;1;4;1;93
214;6;258;308;3215;1944;1;0;3;1;110
187;8;360;315;344;1702;0;0;3;2;175
181;6;225;276;346;2022;1;0;3;1;105
143;8;360;321;357;1584;0;0;3;4;245
244;4;1467;369;319;20;1;0;4;2;62
228;4;1408;392;315;229;1;0;4;2;95
192;6;1676;392;344;183;1;0;4;4;123
178;6;1676;392;344;189;1;0;4;4;123
164;8;2758;307;407;174;0;0;3;3;180
173;8;2758;307;373;176;0;0;3;3;180
152;8;2758;307;378;18;0;0;3;3;180
104;8;472;293;525;1798;0;0;3;4;205
104;8;460;3;5424;1782;0;0;3;4;215
147;8;440;323;5345;1742;0;0;3;4;230
324;4;787;408;22;1947;1;1;4;1;66
304;4;757;493;1615;1852;1;1;4;2;52
339;4;711;422;1835;199;1;1;4;1;65
215;4;1201;37;2465;2001;1;0;3;1;97
155;8;318;276;352;1687;0;0;3;2;150
152;8;304;315;3435;173;0;0;3;2;150
133;8;350;373;384;1541;0;0;3;4;245
192;8;400;308;3845;1705;0;0;3;2;175
273;4;79;408;1935;189;1;1;4;1;66
26;4;1203;443;214;167;0;1;5;2;91
304;4;951;377;1513;169;1;1;5;2;113
158;8;351;422;317;145;0;1;5;4;264
197;6;145;362;277;155;0;1;5;6;175
15;8;301;354;357;146;0;1;5;8;335
214;4;121;411;278;186;1;1;4;2;109
